transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
293,311,3,0,0,0,40,0,42,0
294,80,8,0,1,0,36,1,61,0
295,24,12,1,0,0,49,1,48,0
296,133,17,0,0,1,73,4,42,0
297,265,20,4,0,0,40,1,49,0
298,44,15,0,0,0,26,4,46,0
299,176,0,3,0,0,97,1,65,0
300,16,3,3,0,0,59,2,52,0
301,10,17,4,0,0,46,3,29,0
302,136,7,0,0,1,72,1,33,0
303,140,19,2,0,1,88,4,26,0
304,183,15,0,1,0,91,0,30,0
305,233,20,3,0,0,46,1,29,0
306,670,10,1,0,1,97,3,43,0
307,131,19,4,0,0,71,1,32,0
308,70,20,1,0,0,64,3,21,0
309,285,20,2,0,0,77,4,66,0
310,57,20,0,0,0,27,4,27,0
311,104,18,2,0,0,30,3,65,0
312,15,22,1,0,0,38,0,61,0
313,5,18,0,0,0,82,4,55,0
314,592,17,2,0,0,31,1,65,0
315,325,18,3,0,0,53,0,29,0
316,214,10,3,0,0,27,0,39,0
317,95,2,4,0,0,37,0,55,0
318,34,7,3,0,0,60,3,47,0
319,31,19,3,0,0,62,1,32,0
320,52,18,1,0,0,99,1,53,0
321,143,9,3,0,1,84,1,22,0
322,226,15,3,0,0,97,2,66,0
323,194,4,1,0,0,46,1,21,0
324,59,19,3,0,0,45,1,43,0
325,558,8,3,0,0,57,0,60,0
326,241,7,4,0,0,28,2,36,0
327,145,10,3,0,0,68,2,31,0
328,170,15,3,0,0,25,1,44,0
329,98,6,4,0,0,86,1,55,0
330,51,14,1,0,0,46,2,43,0
331,79,23,3,0,0,83,2,59,0
332,255,20,2,0,0,61,3,40,0
333,3,19,1,1,0,47,5,59,0
334,22,22,1,0,0,57,1,67,0
335,8,16,3,0,0,46,4,66,0
336,7,5,4,0,0,88,5,19,0
337,348,14,1,0,0,86,2,30,0
338,219,7,4,0,0,78,2,29,0
339,116,6,2,0,0,82,3,54,0
340,19,1,4,0,0,36,3,57,0
341,122,12,0,0,0,42,4,53,0
342,115,22,4,0,0,91,3,20,0
343,34,5,1,0,0,84,1,21,0
344,102,4,4,0,0,25,5,48,0
345,92,19,4,0,0,44,2,58,0
346,172,0,0,0,1,41,1,45,0
347,181,17,0,0,0,73,3,57,0
348,8,14,3,0,0,46,0,28,0
349,84,22,1,0,0,57,0,64,0
350,177,9,3,0,0,50,5,60,0
351,126,2,0,1,0,51,0,33,0
352,349,4,4,0,0,84,5,55,0
353,194,23,0,0,0,58,5,46,0
354,32,12,2,0,0,76,3,32,0
355,13,7,4,0,0,79,3,38,0
356,185,21,3,0,0,85,5,31,0
357,5,20,4,0,0,74,2,33,0
358,159,1,2,0,0,87,3,44,0
359,507,8,0,0,0,88,0,45,0
360,154,16,1,0,0,38,5,31,0
361,88,17,1,0,0,75,0,53,0
362,186,12,1,0,0,51,0,27,0
363,110,0,0,0,0,64,0,64,0
364,142,11,1,0,1,92,3,26,0
365,511,19,2,0,0,33,2,45,0
366,88,19,0,0,0,80,5,31,0
367,585,20,1,0,0,63,1,36,0
368,424,4,3,0,0,39,4,30,0
369,39,7,0,0,0,42,3,68,0
370,13,14,0,0,0,76,2,54,0
371,19,2,4,0,1,85,2,56,0
372,3,5,1,0,0,61,4,69,0
373,18,12,3,0,0,77,0,20,0
374,207,11,2,0,0,36,3,24,0
375,13,18,0,0,0,49,4,45,0
376,69,17,2,0,0,49,2,31,0
377,335,23,2,0,0,45,1,54,0
378,4,0,2,0,1,31,5,65,1
379,303,6,4,0,0,73,1,69,0
380,60,11,2,0,0,63,2,39,0
381,23,9,1,0,0,99,5,48,0
382,215,11,1,0,0,73,1,18,0
383,178,10,3,0,0,58,0,64,0
384,378,3,3,1,0,99,0,29,0
385,239,18,2,0,0,40,4,41,0
386,293,5,2,1,0,39,4,47,0
387,60,8,4,0,0,64,0,63,0
388,35,19,2,0,0,31,3,65,0
389,250,9,2,0,0,64,3,44,0
390,296,4,2,1,0,90,1,33,0
391,838,12,0,0,0,94,2,38,0
392,96,8,0,0,0,46,1,21,0
393,84,1,4,0,0,83,4,19,0
394,270,17,4,0,0,29,1,38,0
395,75,20,1,0,0,42,1,24,0
396,481,0,4,0,0,35,3,54,0
397,352,23,1,0,0,32,0,24,0
398,101,20,2,0,0,44,1,19,0
399,250,11,4,0,0,99,4,29,0
400,253,9,4,0,0,83,4,18,0
401,20,1,4,0,0,49,1,20,0
402,419,8,1,1,1,82,6,18,1
403,127,1,1,0,0,43,2,52,0
404,315,22,3,0,0,26,1,33,0
405,69,23,1,0,0,82,2,68,0
406,407,21,1,0,0,90,3,25,0
407,89,13,0,0,0,31,3,38,0
408,2,10,4,0,0,75,2,68,0
409,424,22,1,0,0,57,1,22,0
410,17,10,4,0,0,99,1,48,0
411,69,16,4,0,0,37,2,43,0
412,539,3,0,0,0,34,3,18,0
413,541,12,4,0,1,83,3,40,0
414,153,6,1,0,0,62,2,30,0
415,180,15,4,0,0,44,4,49,0
416,107,0,3,0,0,38,1,22,0
417,62,12,3,0,1,64,2,37,0
418,72,0,0,0,0,31,2,68,0
419,201,10,1,0,0,93,2,45,0
420,251,5,0,0,0,30,2,24,0
421,282,19,3,0,0,64,1,30,0
422,281,2,1,0,0,77,1,49,0
423,17,11,4,0,0,33,2,63,0
424,123,4,1,0,0,89,3,35,0
425,11,8,2,0,1,44,3,63,0
426,144,11,1,0,0,30,2,62,0
427,105,9,4,0,0,63,1,25,0
428,394,18,2,0,0,45,2,46,0
429,78,4,0,0,0,61,6,37,0
430,22,4,1,0,0,36,2,43,0
431,28,8,0,0,0,94,4,35,0
432,258,19,1,0,0,39,5,63,0
433,173,16,3,0,0,45,2,19,0
434,19,9,3,0,0,70,0,60,0
435,16,20,4,0,0,95,2,64,0
436,217,0,3,0,0,34,6,59,1
437,14,21,2,0,0,90,2,66,0
438,311,15,2,0,0,63,4,41,0
439,220,14,1,0,0,46,1,60,0
440,15,22,0,0,0,66,2,25,0
441,16,16,2,0,0,30,1,39,0
442,777,19,1,1,0,76,2,51,0
443,84,12,0,0,0,61,3,49,0
444,83,0,3,1,0,30,2,52,1
445,302,7,1,0,0,97,2,42,0
446,530,4,0,0,0,53,1,24,0
447,768,5,4,0,0,93,4,31,0
448,252,22,4,0,0,75,5,61,0
449,85,19,2,0,0,51,0,46,0
450,16,13,0,0,0,61,2,54,0
451,270,21,4,0,0,70,3,54,0
452,147,22,2,0,1,49,2,24,0
453,99,10,1,0,0,61,0,50,0
454,426,5,1,0,0,47,4,34,0
455,21,10,0,1,0,50,6,36,0
456,122,12,0,0,0,76,3,42,0
457,2,11,0,0,0,27,1,25,0
458,114,21,0,1,0,97,0,29,0
459,10,1,4,0,0,96,1,20,0
460,23,20,4,0,0,52,4,48,0
461,22,2,2,0,0,58,1,61,0
462,189,22,4,0,0,89,3,25,0
463,247,3,1,1,0,53,1,21,0
464,158,16,2,0,0,28,0,49,0
465,589,21,4,0,0,92,1,24,0
466,85,5,0,0,0,86,3,31,0
467,61,6,4,0,0,62,3,51,0
468,365,14,3,0,0,91,1,22,0
469,46,10,2,0,0,26,2,29,0
470,595,23,4,0,0,68,0,54,0
471,2,2,4,0,0,56,0,44,0
472,630,5,1,0,0,27,0,38,0
473,8,1,0,0,1,41,0,30,0
474,399,13,0,0,0,36,1,42,0
475,135,8,1,0,0,88,1,51,0
476,892,17,1,0,0,87,1,59,0
477,14,18,3,1,0,96,5,61,0
478,145,11,2,0,0,65,0,65,0
479,627,12,0,0,0,26,2,34,0
480,133,11,1,0,0,77,3,38,0
481,179,11,1,0,0,58,2,32,0
482,214,17,2,0,0,98,0,43,0
483,109,8,1,0,0,64,3,50,0
484,178,16,3,0,0,95,5,52,0
485,158,20,2,0,0,89,3,43,0
486,417,15,3,0,0,79,3,29,0
487,8,16,4,0,0,98,2,39,0
488,59,20,0,1,0,75,4,27,0
489,541,23,1,0,0,29,4,26,0
490,398,7,2,0,0,80,2,53,0
491,109,10,3,0,1,45,2,51,0
492,174,23,0,0,0,82,4,38,0
493,58,1,0,0,0,97,5,50,0
494,38,7,1,1,1,55,2,27,0
495,112,11,0,0,0,70,2,62,0
496,78,20,1,0,0,51,3,24,0
497,158,0,4,0,0,94,3,45,0
498,15,22,1,0,0,55,2,35,0
499,660,12,3,0,0,65,2,32,0
500,771,21,0,0,0,69,3,57,0
501,216,20,0,0,0,60,3,47,0
502,138,16,0,0,0,26,3,42,0
503,67,13,1,0,0,86,3,67,0
504,303,13,2,1,0,45,1,67,0
505,208,15,1,0,0,58,3,62,0
506,32,16,3,0,0,37,3,47,0
507,435,5,1,0,0,43,1,33,0
508,311,6,0,0,0,57,2,27,0
509,539,0,4,0,1,73,0,42,0
510,233,14,3,0,0,27,2,29,0
511,171,19,4,0,1,62,4,57,0
512,98,20,3,0,0,95,1,18,0
513,486,17,3,0,0,39,3,26,0
514,362,12,0,0,0,62,2,37,0
515,8,23,1,0,0,49,3,55,0
516,5,1,0,0,0,85,0,35,0
517,85,18,0,0,0,74,3,46,0
518,299,14,0,0,0,34,2,54,0
519,786,11,4,1,0,74,1,66,0
520,29,14,3,0,0,66,1,29,0
521,162,17,2,0,0,95,4,54,0
522,86,13,1,0,0,76,6,49,0
523,631,5,0,1,1,70,2,29,0
524,332,11,3,0,0,64,4,54,0
525,328,19,1,0,0,82,3,56,0
526,114,22,2,0,0,48,3,29,0
527,96,5,2,0,0,93,0,50,0
528,57,8,0,0,0,64,2,60,0
529,10,3,2,0,0,44,1,49,0
530,360,16,2,0,0,53,2,50,0
531,302,1,1,0,0,61,1,41,0
532,1471,15,1,1,0,44,3,48,0
533,1025,23,0,1,0,42,2,64,0
534,146,13,3,0,0,28,3,47,0
535,264,7,0,0,0,35,1,43,0
536,521,13,4,0,0,88,3,19,0
537,341,1,2,0,0,76,3,69,0
538,51,15,3,0,0,67,2,34,0
539,108,3,1,0,0,38,5,18,1
540,25,0,4,0,0,69,1,69,0
541,554,22,4,0,0,52,1,48,0
542,168,19,2,1,0,28,3,46,0
543,47,13,1,0,0,40,1,28,0
544,200,7,3,0,0,62,2,62,0
545,173,2,1,0,0,87,1,21,0
546,80,4,2,1,0,47,2,53,0
547,22,5,4,0,0,44,2,25,0
548,200,21,2,0,1,93,1,53,0
549,132,7,0,0,0,45,2,64,0
550,266,5,4,0,0,66,1,38,0
551,132,5,2,0,0,93,1,28,0
552,344,3,3,1,0,38,3,29,1
553,144,6,3,1,0,94,1,43,0
554,148,23,3,0,0,29,2,44,0
555,377,18,0,0,0,48,2,51,0
556,93,6,1,0,0,53,1,27,0
557,26,2,3,0,0,26,3,26,0
558,5,7,0,0,0,30,0,56,0
559,253,0,3,0,0,58,3,30,0
560,174,0,0,0,0,46,2,29,0
561,219,13,3,0,0,28,2,34,0
562,43,5,1,0,0,30,2,21,0
563,26,9,2,0,0,91,2,56,0
564,3,13,3,0,0,87,2,45,0
565,78,3,2,0,0,97,0,58,0
566,160,5,3,0,0,92,4,37,0
567,90,15,1,0,0,58,2,24,0
568,104,20,2,0,0,96,2,25,0
569,422,0,0,0,0,58,6,52,0
570,77,5,3,0,0,81,3,46,0
571,130,8,3,0,0,61,2,64,0
572,276,14,0,0,0,30,6,32,0
573,91,11,1,0,0,95,3,48,0
574,175,2,4,0,0,69,1,29,0
575,357,10,3,0,0,65,1,38,0
576,538,14,0,1,0,29,2,65,0
577,29,2,4,0,0,84,4,33,0
578,470,13,3,0,0,91,2,56,0
579,122,1,2,0,0,41,2,49,0
580,54,3,0,0,0,89,1,23,0
581,111,18,2,0,1,79,4,41,0
582,704,11,1,0,0,33,2,49,0
583,122,1,4,0,1,28,1,35,1
584,72,16,0,0,0,66,1,61,0
585,181,2,3,0,0,70,1,27,0
586,49,9,3,1,0,98,6,46,0
587,14,15,4,0,0,25,4,26,0
588,25,21,2,0,0,41,2,30,0
589,25,8,2,0,0,31,3,68,0
590,30,10,0,0,0,29,1,44,0
591,27,20,0,1,0,76,2,54,0
592,184,14,2,0,0,77,2,25,0
593,36,2,0,0,0,27,3,19,0
594,76,15,2,0,0,86,2,59,0
595,409,20,4,0,0,56,4,21,0
596,116,20,0,0,0,26,1,27,0
597,198,20,2,0,1,77,5,31,0
598,34,11,0,0,0,36,0,42,0
599,38,22,3,0,0,29,2,58,0
600,8,4,3,0,0,28,1,31,0
601,33,6,1,0,0,80,2,27,0
602,59,8,2,1,0,88,1,25,0
603,35,20,1,1,0,69,1,23,0
604,17,17,2,1,0,84,0,22,0
605,23,20,0,1,0,44,4,38,0
606,111,7,2,0,0,77,2,66,0
607,42,11,3,0,0,97,4,40,0
608,82,19,0,0,0,40,1,54,0
609,126,1,3,0,0,54,6,36,0
610,211,9,0,0,0,44,4,66,0
611,7,18,2,0,0,76,5,37,0
612,289,8,2,1,0,60,0,27,0
613,178,23,3,0,0,46,4,35,0
614,15,7,4,0,1,25,2,37,0
615,372,23,2,0,0,45,4,65,0
616,457,23,4,0,0,72,2,28,0
617,11,23,0,0,0,96,1,32,0
618,58,0,4,0,1,29,4,49,1
619,295,5,3,0,0,64,4,28,0
620,248,11,1,0,0,69,0,69,0
621,37,23,1,0,1,55,0,46,0
622,42,18,3,0,0,39,1,57,0
623,83,16,1,1,0,82,1,56,0
624,119,1,3,0,0,77,1,18,0
625,173,10,2,1,0,69,2,64,0
626,83,17,4,0,0,91,0,44,0
627,112,22,1,0,0,66,0,52,0
628,248,21,2,0,0,48,5,25,0
629,7,10,1,0,0,62,3,29,0
630,52,17,0,0,0,75,4,45,0
631,225,7,3,0,0,48,3,65,0
632,406,14,3,0,0,57,1,36,0
633,129,8,2,1,0,43,2,46,0
634,137,14,0,0,0,49,1,59,0
635,20,6,4,1,0,94,1,59,0
636,107,19,0,0,0,73,2,35,0
637,137,12,0,0,0,41,2,51,0
638,50,12,4,0,0,45,2,68,0
639,56,0,4,0,0,67,3,36,0
640,85,19,0,0,1,46,3,41,0
641,4,3,1,0,0,87,1,51,0
642,70,23,1,0,0,48,1,49,0
643,43,3,0,0,0,57,1,19,0
644,71,3,1,0,0,91,2,49,0
645,23,12,4,0,0,41,2,25,0
646,398,1,4,1,1,72,2,62,1
647,162,22,1,1,0,68,2,26,0
648,205,14,4,0,0,49,2,40,0
649,280,3,3,0,0,96,0,46,0
650,124,5,4,0,0,84,0,24,0
651,16,2,0,0,0,53,1,22,0
652,139,6,2,0,0,36,1,57,0
653,159,5,1,0,1,33,1,49,0
654,246,2,1,0,0,77,1,57,0
655,102,3,4,0,0,85,3,20,0
656,25,9,4,1,1,55,6,27,1
657,60,20,2,0,0,72,2,57,0
658,81,8,2,0,0,71,1,46,0
659,187,5,0,0,1,57,0,62,0
660,152,19,3,0,0,91,0,36,0
661,79,10,0,0,0,88,2,42,0
662,775,6,1,0,0,41,2,37,0
663,168,17,4,0,0,68,3,64,0
664,49,3,0,0,0,29,3,55,0
665,19,4,4,0,0,86,4,63,0
666,30,3,4,0,1,87,4,27,0
667,51,3,0,0,0,63,2,68,0
668,32,12,0,0,0,96,1,28,0
669,37,15,2,0,0,66,1,31,0
670,60,13,3,0,0,45,3,68,0
671,34,10,2,0,0,71,3,48,0
672,409,1,3,0,0,98,0,22,0
673,15,21,0,0,1,52,0,60,0
674,134,13,3,0,0,45,0,45,0
675,95,23,1,0,1,52,1,36,0
676,727,23,2,0,0,43,2,50,0
677,21,6,2,0,1,87,3,19,0
678,91,10,2,0,0,76,1,46,0
679,628,3,4,0,0,62,3,35,0
680,361,6,4,0,0,70,3,63,0
681,306,15,0,0,0,48,2,27,0
682,54,5,0,0,0,69,4,55,0
683,34,5,4,1,0,33,2,32,0
684,199,1,2,0,0,33,2,39,0
685,477,23,4,0,0,45,1,44,0
686,146,7,3,0,0,48,1,44,0
687,153,6,2,0,0,88,2,39,0
688,59,23,4,0,0,64,3,38,0
689,264,13,0,0,0,98,2,48,0
690,37,8,4,0,0,76,3,51,0
691,70,14,1,0,0,28,1,23,0
692,100,21,4,0,0,27,0,30,0
693,128,17,2,0,0,37,4,57,0
